total_trades,win_rate,gross_bps,cost_bps,net_bps,avg_r,profit_factor,net_pnl,max_dd_pct,max_dd_rupees,sharpe,sortino,t_stat,win_count,loss_count,avg_win_r,avg_loss_r,max_win_r,max_loss_r,max_win_streak,max_loss_streak,avg_duration_mins,fast_ema,slow_ema,rr
43086,27.345309381237527,-9.101939868340668,19.91792483799593,-29.019864706336595,-0.7603605189629157,0.7132372185779211,-4978240.450623693,4664.165114939694,4985121.782209487,-69.92580605052251,-165.50317837559143,-98.89002327651956,11782,31304,1.181974442698758,-1.4914041721157985,1.9649861594154923,-4.80007403319431,31,43,96.85686766002878,5,15,1.0
43086,27.345309381237527,-9.101939868340668,19.91792483799593,-29.019864706336595,-0.7603605189629157,0.7132372185779211,-4978240.450623693,4664.165114939694,4985121.782209487,-69.92580605052251,-165.50317837559143,-98.89002327651956,11782,31304,1.181974442698758,-1.4914041721157985,1.9649861594154923,-4.80007403319431,31,43,96.85686766002878,5,15,1.5
43086,27.345309381237527,-9.101939868340668,19.91792483799593,-29.019864706336595,-0.7603605189629157,0.7132372185779211,-4978240.450623693,4664.165114939694,4985121.782209487,-69.92580605052251,-165.50317837559143,-98.89002327651956,11782,31304,1.181974442698758,-1.4914041721157985,1.9649861594154923,-4.80007403319431,31,43,96.85686766002878,5,15,2.0
43086,27.345309381237527,-9.101939868340668,19.91792483799593,-29.019864706336595,-0.7603605189629157,0.7132372185779211,-4978240.450623693,4664.165114939694,4985121.782209487,-69.92580605052251,-165.50317837559143,-98.89002327651956,11782,31304,1.181974442698758,-1.4914041721157985,1.9649861594154923,-4.80007403319431,31,43,96.85686766002878,5,15,2.5
43086,27.345309381237527,-9.101939868340668,19.91792483799593,-29.019864706336595,-0.7603605189629157,0.7132372185779211,-4978240.450623693,4664.165114939694,4985121.782209487,-69.92580605052251,-165.50317837559143,-98.89002327651956,11782,31304,1.181974442698758,-1.4914041721157985,1.9649861594154923,-4.80007403319431,31,43,96.85686766002878,5,15,3.0
43086,27.345309381237527,-9.101939868340668,19.91792483799593,-29.019864706336595,-0.7603605189629157,0.7132372185779211,-4978240.450623693,4664.165114939694,4985121.782209487,-69.92580605052251,-165.50317837559143,-98.89002327651956,11782,31304,1.181974442698758,-1.4914041721157985,1.9649861594154923,-4.80007403319431,31,43,96.85686766002878,5,15,4.0
41195,26.93530768297123,-9.158640844809636,19.87867303514729,-29.03731387995693,-0.7916028950778635,0.6978037288950902,-4977980.676297538,4822.848362596328,4981265.395640409,-72.02354839171184,-170.95107329112065,-101.85667894579382,11096,30099,1.1711636266737404,-1.5151770113393934,2.201931813020599,-4.80007403319431,25,50,93.69874984828256,8,13,1.0
41195,26.93530768297123,-9.158640844809636,19.87867303514729,-29.03731387995693,-0.7916028950778635,0.6978037288950902,-4977980.676297538,4822.848362596328,4981265.395640409,-72.02354839171184,-170.95107329112065,-101.85667894579382,11096,30099,1.1711636266737404,-1.5151770113393934,2.201931813020599,-4.80007403319431,25,50,93.69874984828256,8,13,1.5
41195,26.93530768297123,-9.158640844809636,19.87867303514729,-29.03731387995693,-0.7916028950778635,0.6978037288950902,-4977980.676297538,4822.848362596328,4981265.395640409,-72.02354839171184,-170.95107329112065,-101.85667894579382,11096,30099,1.1711636266737404,-1.5151770113393934,2.201931813020599,-4.80007403319431,25,50,93.69874984828256,8,13,2.0
41195,26.93530768297123,-9.158640844809636,19.87867303514729,-29.03731387995693,-0.7916028950778635,0.6978037288950902,-4977980.676297538,4822.848362596328,4981265.395640409,-72.02354839171184,-170.95107329112065,-101.85667894579382,11096,30099,1.1711636266737404,-1.5151770113393934,2.201931813020599,-4.80007403319431,25,50,93.69874984828256,8,13,2.5
41195,26.93530768297123,-9.158640844809636,19.87867303514729,-29.03731387995693,-0.7916028950778635,0.6978037288950902,-4977980.676297538,4822.848362596328,4981265.395640409,-72.02354839171184,-170.95107329112065,-101.85667894579382,11096,30099,1.1711636266737404,-1.5151770113393934,2.201931813020599,-4.80007403319431,25,50,93.69874984828256,8,13,3.0
41195,26.93530768297123,-9.158640844809636,19.87867303514729,-29.03731387995693,-0.7916028950778635,0.6978037288950902,-4977980.676297538,4822.848362596328,4981265.395640409,-72.02354839171184,-170.95107329112065,-101.85667894579382,11096,30099,1.1711636266737404,-1.5151770113393934,2.201931813020599,-4.80007403319431,25,50,93.69874984828256,8,13,4.0
40106,26.60449808008777,-9.45865514038019,19.873391492817255,-29.332046633197443,-0.8140667502302451,0.6763726183481231,-4977887.461938185,4774.022740995676,4982249.116389577,-73.39314275091895,-174.65393072461399,-103.79357786353418,10670,29436,1.1716415787444727,-1.5338489173100196,2.201931813020599,-3.8402930843187018,22,51,91.19695307435296,9,21,1.0
40106,26.60449808008777,-9.45865514038019,19.873391492817255,-29.332046633197443,-0.8140667502302451,0.6763726183481231,-4977887.461938185,4774.022740995676,4982249.116389577,-73.39314275091895,-174.65393072461399,-103.79357786353418,10670,29436,1.1716415787444727,-1.5338489173100196,2.201931813020599,-3.8402930843187018,22,51,91.19695307435296,9,21,1.5
40106,26.60449808008777,-9.45865514038019,19.873391492817255,-29.332046633197443,-0.8140667502302451,0.6763726183481231,-4977887.461938185,4774.022740995676,4982249.116389577,-73.39314275091895,-174.65393072461399,-103.79357786353418,10670,29436,1.1716415787444727,-1.5338489173100196,2.201931813020599,-3.8402930843187018,22,51,91.19695307435296,9,21,2.0
40106,26.60449808008777,-9.45865514038019,19.873391492817255,-29.332046633197443,-0.8140667502302451,0.6763726183481231,-4977887.461938185,4774.022740995676,4982249.116389577,-73.39314275091895,-174.65393072461399,-103.79357786353418,10670,29436,1.1716415787444727,-1.5338489173100196,2.201931813020599,-3.8402930843187018,22,51,91.19695307435296,9,21,2.5
40106,26.60449808008777,-9.45865514038019,19.873391492817255,-29.332046633197443,-0.8140667502302451,0.6763726183481231,-4977887.461938185,4774.022740995676,4982249.116389577,-73.39314275091895,-174.65393072461399,-103.79357786353418,10670,29436,1.1716415787444727,-1.5338489173100196,2.201931813020599,-3.8402930843187018,22,51,91.19695307435296,9,21,3.0
40106,26.60449808008777,-9.45865514038019,19.873391492817255,-29.332046633197443,-0.8140667502302451,0.6763726183481231,-4977887.461938185,4774.022740995676,4982249.116389577,-73.39314275091895,-174.65393072461399,-103.79357786353418,10670,29436,1.1716415787444727,-1.5338489173100196,2.201931813020599,-3.8402930843187018,22,51,91.19695307435296,9,21,4.0
39482,26.328453472468468,-9.680092661928896,19.864967160472926,-29.545059822401825,-0.8265616029721528,0.6687558837265373,-4977830.581388172,4819.293964923527,4981189.910509109,-74.41122267904089,-175.86804909123794,-105.23336030546406,10395,29087,1.1718564350453329,-1.5407485423330964,2.201931813020599,-4.136346677759878,21,56,90.17197710349019,10,20,1.0
39482,26.328453472468468,-9.680092661928896,19.864967160472926,-29.545059822401825,-0.8265616029721528,0.6687558837265373,-4977830.581388172,4819.293964923527,4981189.910509109,-74.41122267904089,-175.86804909123794,-105.23336030546406,10395,29087,1.1718564350453329,-1.5407485423330964,2.201931813020599,-4.136346677759878,21,56,90.17197710349019,10,20,1.5
39482,26.328453472468468,-9.680092661928896,19.864967160472926,-29.545059822401825,-0.8265616029721528,0.6687558837265373,-4977830.581388172,4819.293964923527,4981189.910509109,-74.41122267904089,-175.86804909123794,-105.23336030546406,10395,29087,1.1718564350453329,-1.5407485423330964,2.201931813020599,-4.136346677759878,21,56,90.17197710349019,10,20,2.0
39482,26.328453472468468,-9.680092661928896,19.864967160472926,-29.545059822401825,-0.8265616029721528,0.6687558837265373,-4977830.581388172,4819.293964923527,4981189.910509109,-74.41122267904089,-175.86804909123794,-105.23336030546406,10395,29087,1.1718564350453329,-1.5407485423330964,2.201931813020599,-4.136346677759878,21,56,90.17197710349019,10,20,2.5
39482,26.328453472468468,-9.680092661928896,19.864967160472926,-29.545059822401825,-0.8265616029721528,0.6687558837265373,-4977830.581388172,4819.293964923527,4981189.910509109,-74.41122267904089,-175.86804909123794,-105.23336030546406,10395,29087,1.1718564350453329,-1.5407485423330964,2.201931813020599,-4.136346677759878,21,56,90.17197710349019,10,20,3.0
39482,26.328453472468468,-9.680092661928896,19.864967160472926,-29.545059822401825,-0.8265616029721528,0.6687558837265373,-4977830.581388172,4819.293964923527,4981189.910509109,-74.41122267904089,-175.86804909123794,-105.23336030546406,10395,29087,1.1718564350453329,-1.5407485423330964,2.201931813020599,-4.136346677759878,21,56,90.17197710349019,10,20,4.0
38043,25.71038035906737,-9.915183290969127,19.841155640472124,-29.756338931441253,-0.8587806980779719,0.6524880302641545,-4977612.438440901,4746.1075457434845,4982595.209296273,-75.7404109984093,-180.19775473902874,-107.11311645366278,9781,28262,1.1729476438085302,-1.561927499860998,2.4059886237959107,-4.143981714323397,13,45,88.08861025681466,13,34,1.0
38043,25.71038035906737,-9.915183290969127,19.841155640472124,-29.756338931441253,-0.8587806980779719,0.6524880302641545,-4977612.438440901,4746.1075457434845,4982595.209296273,-75.7404109984093,-180.19775473902874,-107.11311645366278,9781,28262,1.1729476438085302,-1.561927499860998,2.4059886237959107,-4.143981714323397,13,45,88.08861025681466,13,34,1.5
38043,25.71038035906737,-9.915183290969127,19.841155640472124,-29.756338931441253,-0.8587806980779719,0.6524880302641545,-4977612.438440901,4746.1075457434845,4982595.209296273,-75.7404109984093,-180.19775473902874,-107.11311645366278,9781,28262,1.1729476438085302,-1.561927499860998,2.4059886237959107,-4.143981714323397,13,45,88.08861025681466,13,34,2.0
38043,25.71038035906737,-9.915183290969127,19.841155640472124,-29.756338931441253,-0.8587806980779719,0.6524880302641545,-4977612.438440901,4746.1075457434845,4982595.209296273,-75.7404109984093,-180.19775473902874,-107.11311645366278,9781,28262,1.1729476438085302,-1.561927499860998,2.4059886237959107,-4.143981714323397,13,45,88.08861025681466,13,34,2.5
38043,25.71038035906737,-9.915183290969127,19.841155640472124,-29.756338931441253,-0.8587806980779719,0.6524880302641545,-4977612.438440901,4746.1075457434845,4982595.209296273,-75.7404109984093,-180.19775473902874,-107.11311645366278,9781,28262,1.1729476438085302,-1.561927499860998,2.4059886237959107,-4.143981714323397,13,45,88.08861025681466,13,34,3.0
38043,25.71038035906737,-9.915183290969127,19.841155640472124,-29.756338931441253,-0.8587806980779719,0.6524880302641545,-4977612.438440901,4746.1075457434845,4982595.209296273,-75.7404109984093,-180.19775473902874,-107.11311645366278,9781,28262,1.1729476438085302,-1.561927499860998,2.4059886237959107,-4.143981714323397,13,45,88.08861025681466,13,34,4.0
