symbol,direction,entry_time,exit_time,entry_price,shares,entry_value,gross_pnl,cost,net_pnl,gross_bps,cost_bps,net_bps,r_multiple,win,exit_reasons,duration_mins,atr_at_entry,candle_size,pullback_depth_pct,pullback_type
ADANIENT,LONG,2024-08-22 09:35:00+05:30,2024-08-22 11:45:00+05:30,3028.243365,96,290711.36303999997,1997.446079999936,442.15013914881274,1555.2959408511233,68.70890972793178,15.209248600577604,53.49966112735417,1.5572845309057586,1,Take_Profit,130.0,7.6460000000000035,4.650000000000091,0.0004764837416256405,directional_close
ITC,LONG,2024-08-22 09:35:00+05:30,2024-08-22 09:45:00+05:30,508.15394999999995,460,233750.81699999998,-1115.817687499981,362.62457565508623,-1478.4422631550674,-47.735349198800066,15.513296608288913,-63.24864580708899,-1.4792676945286392,0,Stop_Loss,10.0,1.390000000000009,1.25,0.0007694133831668111,directional_close
SBIN,LONG,2024-08-22 09:35:00+05:30,2024-08-22 15:15:00+05:30,821.4105,317,260387.1285,-624.6247249999568,399.0541294848695,-1023.6788544848264,-23.98831035152173,15.325416881536428,-39.31372723305816,-1.0258166563967863,0,EOD_Squareoff,340.0,2.0100000000000136,1.75,0.0002940197241788114,directional_close
BHARTIARTL,LONG,2024-08-22 09:35:00+05:30,2024-08-22 11:20:00+05:30,1479.1392,106,156788.7552,1998.4604000000445,260.93222096786405,1737.5281790321806,127.4619724769678,16.64227901006156,110.81969346690624,1.7388667586629607,1,Take_Profit,105.0,5.0400000000001,6.050000000000182,4.490440508945656e-05,directional_close
TATAMOTORS,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 15:15:00+05:30,651.963855,175,114093.674625,754.2832499999861,201.15963495178,553.1236150482061,66.11087358516095,17.63109441543942,48.47977916972153,0.5554946746300211,1,EOD_Squareoff,340.0,3.3360000000000127,3.5400000000000773,0.0014913022346974337,directional_close
TATASTEEL,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 11:10:00+05:30,152.62365,1443,220235.92695,-1110.0394743749903,345.8433730770534,-1455.8828474520437,-50.402288570611,15.703313163595238,-66.10560173420625,-1.456725125919853,0,Stop_Loss,95.0,0.41000000000000225,0.4000000000000057,0.0008566608949143068,directional_close
GRASIM,LONG,2024-08-22 09:35:00+05:30,2024-08-22 15:15:00+05:30,2751.27495,35,96294.62325,82.16424999999845,177.56666115273498,-95.40241115273653,8.532589590872972,18.439935186384872,-9.907345595511899,-0.09730613265860201,0,EOD_Squareoff,340.0,19.639999999999965,15.900000000000091,0.0005284484066764029,directional_close
RELIANCE,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 15:15:00+05:30,1498.55035,215,322188.32525,187.45527500000435,483.06614578558055,-295.6108707855762,5.818189558996267,14.993285228778802,-9.175095669782534,-0.29594573338290003,0,EOD_Squareoff,340.0,2.9380000000000566,2.2000000000000455,0.00040348140650969236,directional_close
BAJAJ-AUTO,SHORT,2024-08-22 09:35:00+05:30,2024-08-22 09:40:00+05:30,9857.218925000001,31,305573.78667500004,-1138.2989781249398,461.33516261216914,-1599.634140737109,-37.25119849156445,15.097340895370476,-52.348539386934924,-1.6239617783607798,0,Stop_Loss,5.0,30.090000000000146,10.850000000000364,0.0002281199573277652,directional_close
ICICIBANK,LONG,2024-08-22 09:35:00+05:30,2024-08-22 12:40:00+05:30,1180.439925,219,258516.34357499998,1996.6996499999973,398.584539482644,1598.1151105173533,77.23688268168317,15.41815631347145,61.81872636821173,1.6007566391042893,1,Take_Profit,185.0,2.8600000000000363,2.5499999999999545,0.0010487657753524787,directional_close
