entry,exits,slots,trades,bps_per_trade,win_pct,t,stopped_pct,cagr,max_dd
open,time only,5,1480,125.66941515610249,55.60810810810811,3.6932464683798614,0.0,30.986587133415753,-44.53526119913674
open,stop 2.0 / target 3.0,5,1912,47.57322080999592,50.36610878661087,2.4341776565603443,28.922594142259417,13.083536336343847,-50.61991680352781
close,time only,5,1480,135.17658886757005,55.945945945945944,4.149017479565204,0.0,33.96281214625232,-35.5347994186403
close,stop 2.0 / target 3.0,5,1801,85.5919222868775,53.470294280955024,2.947986112500691,25.2082176568573,24.81501307479872,-46.02778534257341
close,stop 3.0 / target 3.0,5,1640,80.72065649692725,54.63414634146342,2.524357499029439,11.219512195121952,20.83604071387164,-42.513642942618645
close,"stop 3.0, no target",5,1545,95.14313139821746,55.016181229773466,2.4210158886048285,11.45631067961165,23.54941031013922,-41.752120661516756
close,"stop 2.5, no target",5,1597,114.99652767070653,54.97808390732624,2.5108194704864917,17.407639323731996,30.520948240707057,-33.55027844349968
close,"stop 2.0, no target",5,1675,90.71794245012813,52.95522388059701,1.1599327144500156,24.597014925373134,24.356686721785703,-44.43084197279879
