bucket,top_bps,univ_bps,edge_bps,t,t_overlap,hit,n_windows
top 5,118.4351097886353,91.08857534543232,27.346534443202973,2.2867192234031317,4.5380006274131155,55.75998645903859,296
top 20,109.72259080475702,91.08857534543232,18.634015459324697,1.117945959225587,5.839645559453073,55.616499780256326,296
universe,91.08857534543232,91.08857534543232,0.0,,,54.49157289484043,296
bottom 5,82.64307326495053,91.08857534543232,-8.445502080481786,-0.9063000259171988,-1.443409419179703,52.445836154366965,296
