hold,top_bps,univ_bps,edge_bps,t,t_overlap,hit,n_windows
3,46.52930639999205,27.267465678781203,19.26184072121085,2.8025054501334403,5.499861687865892,54.29417738659444,985
5,67.2067805656233,45.51925081311819,21.687529752505103,3.0446760005846203,4.962387704880505,55.037237643872714,591
10,118.4351097886353,91.08857534543232,27.346534443202973,2.2867192234031317,4.5380006274131155,55.75998645903859,296
15,165.4521712454846,136.47331859500366,28.97885265048094,1.375344941323395,3.976843912743658,56.45642590708715,197
20,216.13521579069325,181.4785139872466,34.656701803446644,1.3744558416979626,4.081837573884906,57.63926630434783,148
40,404.50284450920776,357.916557247714,46.586287261493766,0.03586790595740528,3.8753935248905056,59.208276333789335,74
