year,top_bps,univ_bps,edge_bps,t,t_overlap,hit,n_windows
2012,250.80770457188726,208.4803912629536,42.32731330893361,0.5867976544809969,1.579072619601817,63.63636363636363,9
2013,74.51091192990111,19.164758884443106,55.346153045458,0.889283573695285,2.4641518612562274,51.879999999999995,25
2014,238.937816647981,181.07219213772137,57.86562451025969,0.72336486737447,2.7521783566657927,60.84362139917695,25
2015,39.25881896762723,7.788300314280743,31.470518653346478,0.4957309755791726,1.5349528126082177,51.79435483870968,25
2016,89.92323182629598,56.19084259371471,33.73238923258125,0.34031419706486615,1.8527535841052742,57.348178137651814,25
2017,178.68414968913956,144.46026650342623,34.22388318571334,1.6832402777433642,1.8853513345042194,58.2995951417004,25
2018,43.81661332492227,-19.763033107937698,63.57964643285998,-0.5742593312814691,3.02181264483438,51.38211382113821,25
2019,90.90694465975054,47.50981748412557,43.397127175624945,1.6196992162188792,2.1900046999992333,55.79591836734693,25
2020,147.67665338971022,159.6121891894366,-11.93553579972637,0.07726200076450598,-0.440773569697123,57.52,25
2021,118.43652940881611,159.84419459389173,-41.40766518507559,-0.7530018556845353,-2.2456929088576123,54.35483870967741,25
2022,36.83325369060634,18.588162694512206,18.24509099609414,2.2125545168124083,1.1479033293610739,51.68016194331984,25
2023,179.71762580622135,151.3017846250175,28.415841181203884,0.31784133218312016,1.0617259083083985,59.817073170731696,25
2024,150.0909260187238,149.73960003190246,0.35132598682139643,-0.5333321462196488,0.016278957266443076,55.70469798657718,15
