exit,win_pct,bps,t,payoff,trades
time exit only,54.08531192598136,97.13843846167946,2.8633318572204303,1.2126454618044384,14699
1.0/1.5,44.52003537655623,32.268246421633236,1.5421884782050268,1.4473364821931338,14699
1.5/2.0,49.8537315463637,53.50049275573854,2.483120081237048,1.240558914211684,14699
2.0/3.0,51.72460711613035,72.94146496867647,2.8037788729778677,1.2190946305306154,14699
3.0/3.0,53.76556228314852,83.66460926007281,3.1881086359640047,1.1661619988700187,14699
2.0/6.0,51.350432002177016,74.49850713813206,2.669524192258294,1.2421427903161821,14699
