datetime,open,high,low,close,volume
2024-08-22 09:15:00+05:30,1472.0,1473.2,1465.0,1470.25,320201
2024-08-22 09:20:00+05:30,1470.25,1474.0,1469.7,1473.8,107130
2024-08-22 09:25:00+05:30,1473.8,1474.4,1471.85,1472.5,233490
2024-08-22 09:30:00+05:30,1472.5,1478.4,1472.35,1476.1,122476
2024-08-22 09:35:00+05:30,1476.1,1479.45,1475.35,1478.15,81529
2024-08-22 09:40:00+05:30,1478.3,1480.9,1477.1,1480.8,93699
2024-08-22 09:45:00+05:30,1480.8,1484.5,1477.0,1478.3,164934
2024-08-22 09:50:00+05:30,1479.1,1484.0,1478.3,1483.9,51077
2024-08-22 09:55:00+05:30,1483.9,1486.0,1479.15,1480.65,98787
2024-08-22 10:00:00+05:30,1480.65,1483.15,1480.65,1482.5,40771
2024-08-22 10:05:00+05:30,1482.5,1482.65,1480.55,1481.2,37474
2024-08-22 10:10:00+05:30,1481.2,1483.1,1479.1,1482.75,42265
2024-08-22 10:15:00+05:30,1483.1,1484.4,1482.15,1482.65,42204
2024-08-22 10:20:00+05:30,1482.95,1484.95,1482.7,1484.25,63528
2024-08-22 10:25:00+05:30,1484.2,1485.6,1483.25,1484.0,66455
2024-08-22 10:30:00+05:30,1484.25,1485.05,1482.05,1482.95,38149
2024-08-22 10:35:00+05:30,1482.95,1483.95,1481.2,1483.4,44690
2024-08-22 10:40:00+05:30,1483.35,1484.0,1482.1,1483.6,38943
2024-08-22 10:45:00+05:30,1484.0,1485.8,1483.6,1485.8,57592
2024-08-22 10:50:00+05:30,1485.8,1487.0,1484.25,1485.0,63346
2024-08-22 10:55:00+05:30,1485.55,1488.9,1485.25,1487.9,79713
2024-08-22 11:00:00+05:30,1487.9,1488.5,1486.05,1487.7,58694
2024-08-22 11:05:00+05:30,1488.0,1490.0,1487.65,1488.6,76945
2024-08-22 11:10:00+05:30,1489.0,1494.0,1488.7,1494.0,98147
2024-08-22 11:15:00+05:30,1494.0,1497.15,1493.05,1495.1,174363
2024-08-22 11:20:00+05:30,1495.4,1499.35,1494.9,1496.6,134862
2024-08-22 11:25:00+05:30,1496.6,1499.9,1495.0,1495.0,103635
2024-08-22 11:30:00+05:30,1495.45,1496.65,1491.7,1492.75,84200
2024-08-22 11:35:00+05:30,1492.75,1495.95,1491.25,1494.45,81511
2024-08-22 11:40:00+05:30,1494.45,1496.5,1494.25,1496.5,50941
2024-08-22 11:45:00+05:30,1496.4,1497.9,1495.1,1497.4,72723
2024-08-22 11:50:00+05:30,1497.5,1499.0,1495.9,1496.9,68026
2024-08-22 11:55:00+05:30,1496.8,1497.45,1493.35,1494.35,57557
2024-08-22 12:00:00+05:30,1493.95,1495.75,1493.05,1494.25,59868
2024-08-22 12:05:00+05:30,1494.25,1494.95,1491.55,1492.0,111626
2024-08-22 12:10:00+05:30,1491.95,1493.55,1491.05,1492.8,98313
2024-08-22 12:15:00+05:30,1492.8,1494.45,1491.75,1492.85,72272
2024-08-22 12:20:00+05:30,1492.7,1493.9,1491.3,1492.7,98994
2024-08-22 12:25:00+05:30,1492.7,1493.6,1492.05,1492.8,41522
2024-08-22 12:30:00+05:30,1492.8,1493.65,1491.05,1491.15,65229
2024-08-22 12:35:00+05:30,1491.1,1492.8,1490.0,1490.7,80789
2024-08-22 12:40:00+05:30,1490.7,1491.7,1487.0,1488.1,104637
2024-08-22 12:45:00+05:30,1488.65,1490.2,1487.3,1489.85,48448
2024-08-22 12:50:00+05:30,1490.0,1490.7,1488.8,1489.0,59900
2024-08-22 12:55:00+05:30,1489.4,1490.0,1488.2,1488.35,40720
2024-08-22 13:00:00+05:30,1488.55,1489.8,1487.65,1488.45,58029
2024-08-22 13:05:00+05:30,1488.45,1489.0,1485.9,1486.35,74695
2024-08-22 13:10:00+05:30,1486.6,1487.55,1485.15,1486.8,53888
