year,cc_edge_bps,cc_hit,co_edge_bps,co_hit
2015,5.746160392570513,52.98387096774194,11.094817928654368,70.16129032258065
2016,7.637095060880635,53.036437246963565,13.176720521460428,70.04048582995951
2017,4.8443182688260125,52.5506072874494,12.472636056179024,71.25506072874494
2018,2.988553463294316,49.918699186991866,3.7172800867789753,64.6341463414634
2019,6.135460294518527,50.36734693877551,13.727973539654442,70.61224489795919
2020,6.288800970568355,54.24,9.832356203834676,70.08
2021,-5.159059000608124,52.33870967741936,13.89296292050507,72.25806451612902
2022,3.9566398738263144,52.71255060728745,12.576865386594957,62.18623481781378
2023,5.5092347118217875,55.04065040650406,15.036587839471027,72.03252032520324
2024,10.389911268240946,53.670886075949376,21.60751011609811,73.54430379746834
