feature,ic,ic_t,ir,d10_minus_d1_bps,spread_t,d10_hit,d1_hit
clv,-0.03254472629175554,-9.835480866082557,-2.868336124130732,-10.377500791690817,-4.291121297197914,48.11677354033074,52.95871301608729
ret5,-0.031306692880223704,-8.238501868788948,-2.4026067297285034,-9.353669790126352,-3.059839336971676,48.79682753965576,52.86027674654067
updays5,-0.026335651268446832,-8.115201710340948,-2.3666485184927875,-5.447815762564558,-1.439975711343932,49.20865764816514,53.57049189102393
ret1,-0.028352801808192482,-7.905917648994221,-2.3056146919276093,1.570147353337811,0.5439357675096331,48.503206209922375,51.93216334795815
dist_ma20,-0.02896214960066349,-7.295650409743914,-2.1276415362122054,-8.036251627868538,-2.545463957427244,48.43064461694229,52.69996625042187
low_prox,-0.025601310630420537,-6.882105266012951,-2.0070387420150353,-5.004642694320998,-1.7753435354735976,48.71076611542355,52.531218359770506
rsi14,-0.02615022871664601,-6.627983526937638,-1.9329288358456012,-8.489350198584093,-2.889185461605608,48.76139048261897,53.06277421532231
high_prox,-0.0224623831617678,-5.733009750080709,-1.6719262830206563,-8.96355329273285,-3.0745590236152225,48.722578467769154,52.54809314883564
ret20,-0.02011943376934199,-5.105654030815615,-1.4889695880965161,-4.990895204686449,-1.6208169392779443,49.173135335808304,52.33715828552143
dist_ma50,-0.020226155496467287,-4.962484087595829,-1.447216721549522,-5.25743443332968,-1.6402483393103897,49.260884238947014,52.531218359770506
tr_ratio,-0.012773520837945241,-4.000042614592429,-1.1665384627063644,-5.189508908751066,-2.028447744793794,49.927438407019906,51.417482281471486
turnover,-0.009487360965713555,-2.9320691982172686,-0.8550837639977398,-7.153281657083355,-2.6530443852365266,50.83867701653729,50.97030037124536
vol_ratio,-0.00398943020483365,-1.2580618176414702,-0.36689046596334546,2.8042763948310614,1.068442030926312,50.86398920013501,50.73405332433345
dist_ma200,-0.004752195871900994,-1.1376989442396492,-0.33178885959723753,-3.1356238309498745,-0.976747999857654,50.5686803914951,52.210597367532905
gap_today,0.0013149234351823857,0.3935345568644354,0.11476707655856923,5.352395696652711,1.9629714775396059,50.430869614129826,50.576555293058846
ret60skip5,-0.0004199937793018455,-0.10501477298717234,-0.030625616685935227,-1.1779581892834414,-0.38782672760727527,50.916301046236924,50.818427269659125
atr_pct,-0.0004404064793829282,-0.10243253141157019,-0.02987255367931865,6.389932233480496,1.9291178142377692,51.457981775227815,51.21498481268985
