picks,hit_pct,bps,t,edge_bps,edge_t
1,69.60537363560033,32.663639461819756,14.383808474484539,17.05150857021241,10.301733228922858
3,70.15113350125944,29.790054376760597,16.6753338821935,14.177923485153253,14.092020678372748
5,69.53820319059614,27.99152936017681,16.88862563202037,12.379398468569459,16.154513420081848
10,68.76994122586063,25.54396477088181,17.16621958906893,9.931833879274462,20.60311290086503
20,66.92695214105794,22.04703709237271,15.854523570853491,6.4349062007653615,23.119782432844318
