tp_atr,sl_atr,horizon,who,trades,win_pct,bps,t,avg_win_bps,avg_loss_bps,payoff,entry
1.0,1.0,5,model,11899,50.937053533910415,10.279666082300986,0.38405793108194286,278.9690247618457,-268.67309221792505,1.0383214130560174,
1.0,1.0,5,random,14804,51.222642529046205,7.573415401561159,1.0883423407738695,250.66630388546952,-247.70609898335468,1.0119504724117179,
1.5,1.0,5,model,11895,46.70870113493064,16.153641525273244,1.3338964800294597,335.1066446982892,-263.4019485724199,1.2722253822133542,
1.5,1.0,5,random,14800,46.18243243243243,11.873811758769824,1.139841388275773,306.6253121327106,-241.06109157530238,1.2719817625024206,
2.0,1.0,5,model,11894,45.51874894904994,19.258185907594477,1.354513364820958,355.38123492679813,-261.5705467143142,1.3586439275785256,
2.0,1.0,5,random,14798,44.75604811461008,14.850042736968483,1.363159477053589,328.3282010970723,-239.11519797483183,1.373096331298986,
1.0,1.5,5,model,11899,56.0803428859568,14.52905917015767,0.8267998745825436,273.0109756295404,-315.5225727727165,0.865266067116539,
1.0,1.5,5,random,14804,56.85625506619832,11.262787182013206,1.5546518335777626,245.52810629640598,-297.4598041732152,0.8254160826160948,
1.0,2.0,5,model,11899,57.6350953861669,16.963372935216377,0.9441359720478029,271.76581128448396,-329.68116628304927,0.8243291976562537,
1.0,2.0,5,random,14804,58.4909483923264,12.292040641192255,1.6722286413195568,244.26648305943877,-314.58618505442956,0.7764691987894379,
0.5,2.0,5,model,11903,70.83928421406368,5.041336877683762,0.84409485374735,157.25994680790336,-364.73893362983915,0.43115755491981844,
0.5,2.0,5,random,14810,72.24848075624578,4.404936659400949,1.6330364256544845,139.28248151874104,-346.73611686734813,0.4016959143948271,
0.5,3.0,10,model,11900,80.0672268907563,16.8290095761043,1.0298743951773768,159.56024123926528,-556.5028518432035,0.2867195391915474,
0.5,3.0,10,random,14809,80.9777837801337,15.470228858065834,1.925868543062097,141.38588847542562,-520.5541197863711,0.2716065114102807,
1.0,1.0,5,model,11900,54.445378151260506,28.777299529490794,2.503716124102574,280.09435859011467,-271.5885417643263,1.031318761721433,close
1.0,1.0,5,random,14806,53.67418614075375,22.118287031377793,3.681258213853667,255.82932479917415,-248.66486169885655,1.0288117229405498,close
1.0,2.0,5,model,11900,60.63865546218488,33.69272126399992,2.6263736157281197,273.3538558251897,-335.5205039694642,0.8147158000515752,close
1.0,2.0,5,random,14806,60.522761042820484,26.769343962201035,3.7586633886654828,249.33490767741938,-314.44708314679326,0.7929312149511096,close
0.5,2.0,5,model,11906,74.95380480430035,24.999366081414113,3.871990120464034,159.34509750015323,-377.04667925085545,0.42261371408111054,close
0.5,2.0,5,random,14809,74.88014045512864,17.837255110617107,4.055073578785724,142.35688771828165,-353.34505832658516,0.402883482770278,close
