feature,decile,bps,t,hit_pct,name_days
ret1,1,4.88297820702925,1.6726455846559454,51.93216334795815,11852
ret1,2,10.96088026070305,4.481661661968515,53.04083698953763,13665
ret1,3,13.061487124944364,5.656687202017213,52.46203172460344,13504
ret1,4,10.348544106931778,4.710403621538634,52.149848126898426,13362
ret1,5,12.630497496643281,5.690744366570447,52.05422432219598,14020
ret1,6,7.279835427717671,3.2012242176868635,50.72392845089436,12782
ret1,7,6.881242186413233,3.0051251470961096,50.194060074249066,13126
ret1,8,7.101014047538782,3.1155249903630744,49.90887613904827,13741
ret1,9,5.527910230295318,2.330424585742362,49.54100573742828,13428
ret1,10,6.34553814352354,2.4289045031353025,48.503206209922375,14807
ret5,1,13.02465765883666,4.374965881531827,52.86027674654067,11852
ret5,2,10.161454818629258,4.0522590974559245,52.05872426594668,13665
ret5,3,11.615235915435703,4.87166072714455,52.11947350658117,13504
ret5,4,12.56417701277203,5.549824404791667,52.44515693553829,13363
ret5,5,9.507185186711789,4.2924832674587305,51.376982787715164,14019
ret5,6,7.798524551507972,3.4165500493717436,51.20485993925076,12782
ret5,7,8.371241035429087,3.731023856270175,50.46743165710428,13126
ret5,8,4.269822851105411,1.9140621830420934,49.56463044211947,13741
ret5,9,5.443758306738122,2.3050187964943833,49.716503543705706,13428
ret5,10,4.168697449407555,1.6306384670861518,48.79682753965576,14807
ret20,1,11.554029582615811,3.85474571554297,52.33715828552143,11852
ret20,2,10.02530581904122,4.016823366156872,52.293283833952074,13665
ret20,3,8.702909686082986,3.630852254392078,51.410732365845426,13504
ret20,4,10.43611289065761,4.527504388657533,51.714478569017885,13363
ret20,5,10.677931641989927,4.6271959092999895,51.46135673304083,14019
ret20,6,6.8511630921492825,2.98107922816806,50.556868039149506,12782
ret20,7,8.989623530827348,3.978197437716122,50.794802564967945,13126
ret20,8,8.277834548257088,3.6629997677246506,50.94498818764765,13741
ret20,9,4.457097014466511,1.885016495634022,49.8396895038812,13428
ret20,10,6.692674467692109,2.6968712949640086,49.173135335808304,14807
ret60skip5,1,10.091340631995564,3.4255846835003387,50.818427269659125,11852
ret60skip5,2,8.236021530977872,3.3582759036140244,50.99223759703004,13665
ret60skip5,3,10.581250761204222,4.4567458302239595,51.3938575767803,13504
ret60skip5,4,6.750310284404585,2.952791390989799,51.11542355720553,13363
ret60skip5,5,9.526174807926667,4.266360515642224,51.15592305096186,14020
ret60skip5,6,5.812789589613664,2.4805418968119604,50.53324333445832,12781
ret60skip5,7,9.952815583908457,4.325000154807285,51.19811002362471,13126
ret60skip5,8,8.83720776569384,3.877213887687525,51.086736415794796,13741
ret60skip5,9,7.900449165959092,3.3649537519383137,51.139048261896725,13428
ret60skip5,10,8.620179518731854,3.3502766990157724,50.916301046236924,14807
dist_ma20,1,12.454477699159707,4.1449569095984105,52.69996625042187,11852
dist_ma20,2,11.541006082983149,4.565126028562288,52.786027674654065,13665
dist_ma20,3,9.22220395986445,3.907740815456971,51.9001012487344,13504
dist_ma20,4,9.481835204049077,4.064300519542353,51.331420857239294,13363
