variant,years,CAGR%,vol%,Sharpe,maxDD%,Calmar,turn/yr%,hold(mo),cost%/yr,final
BENCHMARK equal-weight B&H,14.992470910335387,17.071603006692747,16.378934822018465,1.06181713983088,-37.74825992200434,0.4522487405238331,8.426168257799095,142.41348656778882,0.02993137942135355,10623266.996647192
momentum 12-1 top20 +200DMA,14.992470910335387,28.476047072090548,19.723881505985254,1.3926098732068273,-37.37892824634124,0.7618208549058083,518.8843670060375,2.3126539867138405,12.190547897306562,42806838.66268581
no trend filter,14.992470910335387,27.936605275251058,20.0236997408227,1.3533279244909167,-39.02306334613457,0.7158998520298976,489.2757182050883,2.4526048511097365,10.818506016965145,40189885.42247362
top 10,14.992470910335387,26.715713202561787,22.04139911685912,1.2045117807535444,-37.760254444447924,0.7075088236459149,632.3573474798495,1.8976611954971216,11.638074421675713,34808304.10780709
top 30,14.992470910335387,26.907888724269103,18.809776442810307,1.3843980963286167,-36.815937755514085,0.7308760923858035,461.4136639467559,2.600703216579369,10.497996516813272,35608207.47604875
6-1 momentum,14.992470910335387,29.66636222697081,20.62170935321131,1.386288284816717,-34.286229316480586,0.8652559006455366,714.7028757308897,1.6790194089716262,20.606889764061346,49154175.64659821
quarterly rebalance,14.992470910335387,27.176185001791442,19.893082467710926,1.330442367483129,-39.927442381824804,0.6806392641408504,279.0368618089466,4.300507080751312,5.8819287880079365,36753678.687491275
rank buffer 10,14.992470910335387,27.96220303996808,19.62622577017926,1.3777615450053393,-39.05085033554535,0.7160459452150771,324.6724941092457,3.6960322225393827,8.155209134181368,40310612.652880855
+ disaster stop -25%,14.992470910335387,27.815058200585142,19.296477974323967,1.391732339827676,-32.10216142272518,0.8664543746544993,514.698255127319,2.3314631204707705,11.497899177906705,39621222.02045263
+ daily trend exit,14.992470910335387,25.98968454069741,17.85367710612769,1.4070540370417663,-30.58130396055798,0.8498553421468692,464.46624383150487,2.5836107918217754,10.812731674637668,31935182.089067318
DAILY rebalance,14.992470910335387,24.389923839187855,19.470554957750693,1.239047153088183,-39.989859686411634,0.6099027110984196,2625.119154072002,0.45712210744361753,43.04545565691073,26367222.40241635
DAILY + rank buffer 10,14.992470910335387,28.319580844431513,19.25198836638816,1.4153671837492972,-35.52339133358847,0.7972093817983664,689.4631207195501,1.7404846813962058,16.164823697490093,42031862.77944679
DAILY + rank buffer 20,14.992470910335387,28.960642401461634,19.158661992140765,1.447788796384361,-36.10367019945953,0.8021523086562866,499.6057904792094,2.401893698727931,12.108779236064306,45292487.76543632
WEEKLY rebalance,14.992470910335387,27.91472108101425,19.610214391458204,1.3766770235088963,-35.43486550368079,0.787775561843592,1139.6703420432184,1.052936060307248,25.587873072218052,40086940.23307418
WEEKLY + rank buffer 10,14.992470910335387,29.373176477616212,19.376047495685434,1.4505022011689823,-34.797714806329715,0.8441122252163876,495.1185551127887,2.4236619444137744,13.104798324017219,47513993.7534136
