symbol,trades,return_pct,sharpe,max_dd_pct,win_rate,profit_factor,avg_trade_pct
HDFCBANK,389,-61.218340911003985,-6.6996485414965345,-61.218340911003985,33.67609254498715,0.4027801128577377,-0.24388075730454872
INFY,367,-59.54986546901904,-5.010350980390241,-60.95404796352455,36.23978201634878,0.4658710040558856,-0.2522761484435976
RELIANCE,408,-51.8485371479956,-4.09355156101776,-53.50662766847722,37.5,0.5567582015738317,-0.18030881012960354
SBIN,414,-61.3774393354358,-5.137641547600386,-62.55880018632075,37.43961352657005,0.5045858695793694,-0.2329184347343971
TCS,364,-47.73168563578575,-3.346616246926872,-49.53977016714419,40.934065934065934,0.5958784069452865,-0.1816639119650354
