leg,n,mean_bps,se_bps,t,median_bps,sd_bps
BUY legs (raw),880,30.23086430117872,3.7553981920568846,8.049975729636502,26.732603463165418,111.40311356149623
SELL legs (raw),860,-29.25825411920082,3.5935699727808443,-8.141835094575784,-24.363049476845422,105.38415833688677
ALL legs (raw),1740,0.8281965761635453,2.695687247011972,0.307230216369335,0.0,112.44603032852336
Universe average gap / rebal,180,24.874912934005017,4.497959787646041,5.530265744555052,25.061879275207705,60.34646307142239
BUY excess over universe,880,4.520983100845961,3.1471550071939616,1.436530164708004,1.1165655102509504,93.35970481202959
