ret1,ret5,ret20,ret60skip5,dist_ma20,dist_ma50,dist_ma200,rsi14,updays5,high_prox,low_prox,clv,vol_ratio,turnover,atr_pct,tr_ratio,gap_today,year,n_train
0.00015627813214639857,7.514421958539964e-08,-0.0008452934350035424,0.0004110171406453355,-0.00039737963714628376,-0.0008284772089333824,0.00013424699327088316,0.0005751715216591836,-0.00125419005346172,-4.955577350808743e-05,0.000919460068017416,0.00035704122423773005,0.00016361643356784615,-0.0006880001828187028,0.00016324603576563273,-8.107824592864179e-05,0.0004694590130605704,2015,61056
-0.00016147492150915953,-0.000525244598411641,-0.0007444532868260723,0.0001581708815382092,-0.0009931436415030654,-0.0009551104089017439,0.0003883686516830446,0.001402171175208207,-0.0009729138725373506,-0.00034366127260628443,0.0008283892735515992,8.775205706524475e-05,0.00011139759593936143,-0.0008899549240386371,-0.00016479817761300537,0.00016472969015778703,0.0006617576410456888,2016,91445
-0.0006732604374654898,-0.00040303434348140687,-0.0004995278094877606,0.0003944370689985492,-0.0008471235978804059,-0.0009035815117367796,0.00012305429698822169,0.001212525477735172,-0.0009522744568207113,-0.00028986806867998063,0.0006436291063305064,0.00025992923062879243,2.8582524967301677e-05,-0.0008252266687520625,-0.0002347542971489667,5.077799624418908e-05,0.0006689318025176428,2017,122318
-0.000776228577236686,-0.00036589831371873716,-0.00047974956364596445,0.00016685091756466714,-0.0007394076121433757,-0.000732135833404611,0.0003213467091336826,0.00045111921857565653,-0.0007975823964435828,0.00038844577424210864,0.0005592575670543851,0.0005531257086401406,-2.3618481875724114e-05,-0.0008436921896611082,0.00023385659162648956,4.8138743223600575e-05,0.0005190998400003793,2018,157323
-0.0007573321656328323,-0.0005369967470226708,-0.00044260442834882964,0.00043916032008230725,-0.0004909652318301278,-0.0009817915679664953,0.00026032299259377974,0.00044627760688642775,-0.0006279710800139186,0.00034261861374018464,0.0004153207630158961,0.00023106978230568858,0.00012377649132884016,-0.0008473294761127817,7.852188283228518e-05,-7.747288407766893e-05,0.00048717441913252344,2019,193752
-0.0006554118864444212,-0.0004924288156666891,-0.0004840381140075188,0.00036772528630570723,-0.00048264757598620285,-0.0012003251270307812,0.0004643786233168401,0.000628606317953577,-0.0006124530931616882,0.00039411372141087947,0.0002810458859466235,-0.00015156067886154886,0.0002618241695909763,-0.0008138963156681594,0.00019074570843676282,3.719320460559991e-05,0.0005405789557797206,2020,230035
-0.0002585950494566681,-0.000626420199651847,-0.00023193693524363874,0.0002592129476366166,-0.00026347321024751646,-0.0007200570751145183,0.0005781218365176171,-0.00013399825330224704,-0.0005124531092889556,0.0006348372482379338,0.00016591869798277746,-0.0003856876119427521,0.0005426892984777145,-0.0010165226961255476,0.0003484909199786811,-0.00011524429397550794,0.0005842681744804665,2021,268511
-2.8111844792352337e-05,-0.000515120303318535,5.7180685675365544e-05,9.855150270960311e-05,-0.000745499236520987,-0.001014416480958891,0.000798228880457692,0.0002522606582097399,-0.0005339121474664159,0.0010310179335431078,0.0001391373077474191,-0.00050098162123262,0.0006055739091652832,-0.001063118773046911,0.000669551498661373,-4.225665277333359e-05,0.0006335740162019097,2022,310453
0.0001220075064238044,-0.0004231354198608138,9.607771530571879e-05,0.00018914466469828798,-0.0006776589779487427,-0.0009875436126653085,0.0007918917661284633,4.7409341895758605e-05,-0.0005406997727824513,0.0008989704216238554,0.00016435859389742638,-0.0005321886217096741,0.0005748084327530186,-0.0009307356508163202,0.0006298115593739189,-5.974972253154419e-05,0.000612364054044399,2023,353546
0.0002817788664645959,-0.00029385096219549886,0.00021236201046938318,0.0001007300508231348,-0.0007612162007254394,-0.0008552907393012598,0.0008067845301947896,-0.0001953987247128204,-0.0006227484369817099,0.0009040473050853083,0.0003060446284176185,-0.0005936261264285335,0.0005975127135499717,-0.0009005652044773535,0.0006131279787738783,-4.1293663793836235e-05,0.0005717485112098921,2024,398722
