hold_days,top5_bps,universe_bps,edge_bps,t_overlapping,t_non_overlapping,edge_bps_per_day
1,20.21731474853926,8.562412062833772,11.654902685705485,5.233039855189978,5.233039855189978,11.654902685705485
2,39.68606460253085,17.108547051402358,22.577517551128484,7.3637452811101864,6.2839998054632344,11.288758775564242
3,56.30866378678566,25.596473145155997,30.712190641629668,8.570710835713749,4.768693900180686,10.237396880543223
5,87.77559994920188,42.734094586020866,45.041505363181024,9.726239267591923,5.580277484556795,9.008301072636204
10,159.60704316070175,85.09803823375057,74.50900492695118,11.48695798007546,3.624403128724962,7.4509004926951174
20,301.9489868145754,169.25390895658137,132.69507785799402,13.838934529678777,2.777326274578382,6.634753892899701
40,573.8494141874114,338.3842175096696,235.4651966777417,16.002158551917184,3.293045234953775,5.8866299169435425
