atr_quintile,overnight_bps,session_bps,fullday_bps
1,12.152357973561289,-5.009789918694052,7.021892889759465
2,15.443629693065455,-7.8077257665476445,7.448210914243365
3,17.204731035488127,-8.251236366949078,8.738994420881657
4,19.718217142781022,-9.569830235398353,9.90596241289819
5,24.463972628693377,-11.917960931263192,12.165416853090475
