tp_atr,sl_atr,horizon,who,trades,win_pct,bps,t,avg_win_bps,avg_loss_bps,payoff,entry
1.0,1.0,5,model,11898,51.69776433013952,17.359259550297995,1.9698836019942791,352.617898266032,-341.467238925512,1.032655136626306,
1.0,1.0,5,random,14802,50.39859478448858,6.816974439913917,2.022615343190728,294.3213030292816,-285.30809928341523,1.0315911247122114,
1.5,1.0,5,model,11892,47.50252270433905,27.12501304490608,2.4422083269670205,424.8765854688198,-332.78186387687646,1.276742009071795,
1.5,1.0,5,random,14800,45.5472972972973,10.525401296520586,2.0691602809265643,356.78204395863804,-279.1030920879358,1.2783163428595348,
2.0,1.0,5,model,11892,46.41775983854692,31.653019384540105,2.6403383539162353,449.6762136095507,-330.4763014130209,1.360691255883903,
2.0,1.0,5,random,14798,44.05325043924855,12.62040174721631,2.176533956479971,380.80831393143467,-277.2958924343176,1.3732923001073152,
1.0,1.5,5,model,11898,56.975962346612874,29.023358397075597,3.1877997428971643,347.1133441455139,-392.2175115753142,0.8850021579897273,
1.0,1.5,5,random,14800,56.270270270270274,13.210163506264085,2.7144884278339676,287.5624590452679,-339.8191809388571,0.8462219767900871,
1.0,2.0,5,model,11898,58.46360732896285,35.24894295840489,3.712881211984752,345.3213772511658,-401.18647851881997,0.860750288808566,
1.0,2.0,5,random,14800,57.87837837837838,15.984266298441547,2.759241992658256,286.15725461423216,-355.25439554195987,0.805499546818228,
0.5,2.0,5,model,11903,71.04931529866421,12.281776107022692,1.9733315643960299,200.88386745686677,-450.5759971215411,0.4458379246568679,
0.5,2.0,5,random,14809,72.11830643527584,6.129683098940092,2.755014998671674,162.98701160142429,-399.59477037805954,0.4078807424011608,
0.5,3.0,10,model,11898,80.24037653387124,35.24701960696397,2.0767487241044886,204.85413165060143,-653.4978118182198,0.3134733245405031,
0.5,3.0,10,random,14802,81.21875422240238,23.56083034033578,2.1148154705257425,165.69864482823704,-591.108524254466,0.2803184830352836,
1.0,1.0,5,model,11898,54.82434022524794,41.102517373428626,4.540017878262064,355.08745117073687,-339.943756702821,1.044547646983717,close
1.0,1.0,5,random,14801,53.165326667117085,24.361422781978828,4.029350755532196,297.8969037742002,-286.14791073328234,1.0410591606655801,close
1.0,2.0,5,model,11898,61.22877794587326,59.43949843194336,5.939594464411001,349.226980750392,-398.20234173495413,0.8770088574286676,close
1.0,2.0,5,random,14800,60.29054054054054,34.09412909276422,4.634867430779015,290.18848606263487,-354.7317935279871,0.8180504013372006,close
0.5,2.0,5,model,11905,75.11129777404452,38.410038731491404,5.122315273852799,203.4844146066314,-459.76581988325773,0.44258273626843225,close
0.5,2.0,5,random,14810,75.14517218095881,25.304806719079668,6.132600047109399,166.55651510786046,-401.7504126937813,0.4145770852880535,close
