feature,decile,bps,t,hit_pct,name_days
ret1,1,7.59407702138433,2.9471201659440016,51.79680706173472,41434
ret1,2,11.971459388302955,5.15345669363477,52.20817272557048,42820
ret1,3,11.971551782922322,5.486851292559374,51.914788312399615,42618
ret1,4,11.7223958049699,5.507404023529156,51.33765371516124,42889
ret1,5,10.255214572883695,4.922208265043284,51.3989474621493,43215
ret1,6,7.588092787936682,3.628970456888166,50.229752242467896,42284
ret1,7,8.19072066261033,3.913471165841737,50.04953600941894,42659
ret1,8,4.761447822251145,2.166732818266797,49.01974998892842,42842
ret1,9,6.121727667574122,2.7040945948922097,48.77768972251725,42597
ret1,10,10.412217769493452,4.110350705215264,48.61824559966845,44097
ret5,1,12.139938765734273,4.458784237073996,51.92226699836028,41434
ret5,2,13.016167943349366,5.34447450413247,51.84573881740119,42825
ret5,3,10.480378110337524,4.728352954184788,51.20449066342771,42614
ret5,4,11.11016635927642,5.128374686891074,51.40504356289416,42888
ret5,5,10.138416081382244,4.83310994172994,51.00974638493355,43215
ret5,6,9.939641255540723,4.786979750520734,50.76937297591228,42283
ret5,7,6.998273577172389,3.4311201387186463,50.076434535209636,42662
ret5,8,5.331302886591871,2.4426823398027384,49.3321536688961,42839
ret5,9,5.697756839190885,2.6313019689710555,49.284597219002876,42598
ret5,10,6.008295984391332,2.5064063367964855,48.477125533003814,44097
ret20,1,11.462728615063218,4.153763748591938,51.522361860049635,41434
ret20,2,10.400052471619592,4.293961715661678,51.3731537401864,42823
ret20,3,9.679462524386425,4.301245663392546,50.9772454628021,42614
ret20,4,9.616132024274458,4.467202666673738,51.14475471957298,42887
ret20,5,10.931687965502087,5.196927997217992,51.093815416271724,43219
ret20,6,8.930227466333282,4.238134213477163,50.56161788911627,42282
ret20,7,8.371164484909373,4.008425757108499,50.46022770409924,42661
ret20,8,7.664856448382424,3.7391732523477565,50.0194983074974,42840
ret20,9,8.415290089395041,3.8986039407643513,49.45297263172315,42598
ret20,10,5.377888958893176,2.1987690616870603,48.71019168417474,44097
ret60skip5,1,8.078163535914948,2.9082781323573212,50.083519441471594,41435
ret60skip5,2,8.84361343094028,3.813505978676238,50.47922064538377,42823
ret60skip5,3,8.62927432071434,3.9182418713339926,51.04923219569126,42614
ret60skip5,4,8.329292447195975,3.9541345672610295,50.43771967932068,42888
ret60skip5,5,7.267282352875167,3.4674726243966636,50.10174340869138,43217
ret60skip5,6,8.804912502484664,4.2214651622136,50.4238437739818,42282
ret60skip5,7,9.736798816019295,4.6108755075520005,51.010179550111935,42661
ret60skip5,8,9.415761380292032,4.437719802789514,50.69685311022615,42840
ret60skip5,9,11.163412608046677,5.0167495152096775,50.93026228448632,42598
ret60skip5,10,10.583614511777272,4.203346103612075,50.08177997002628,44097
dist_ma20,1,13.43580684620887,4.847577489392951,51.910390285628914,41434
dist_ma20,2,9.654864150511306,3.9551601855446115,51.56972032348711,42824
dist_ma20,3,10.536367559459004,4.686869911981949,51.47246781937247,42614
dist_ma20,4,9.75662327278664,4.493056822643238,50.85237251519228,42887
dist_ma20,5,11.233500897092073,5.394757414920135,51.08099433377842,43218
dist_ma20,6,9.23797851477152,4.43785647775972,50.857799890166575,42282
dist_ma20,7,8.054080782564187,3.86048994278798,50.285176800445356,42661
dist_ma20,8,7.925187523687669,3.848647441587271,50.05606485084939,42840
