picks,hit_pct,bps,t,edge_bps,edge_t
1,72.33417296389588,45.47961100553879,17.056200154759093,26.5219668528258,10.893432722684327
3,72.23621606493143,42.09373033481654,22.142177684487354,23.136086182103554,16.623174873442675
5,71.46095717884131,39.811410671431716,23.120306243918805,20.853766518718725,20.052187515004185
10,70.80604534005039,36.763998359217304,23.006390140850392,17.806354206504317,24.53263361587764
20,70.04198152812762,33.12302430940456,22.06923387148749,14.165380156691565,28.237038614731404
