year,cc_edge_bps,cc_hit,co_edge_bps,co_hit
2015,-1.4430383615721356,48.145161290322584,13.938895736935084,69.6774193548387
2016,11.410400489365289,52.06477732793522,5.34208685273128,68.17813765182186
2017,9.388306607828676,53.7651821862348,18.431900577207777,72.95546558704453
2018,16.8246617697422,50.81300813008131,9.940816476611042,66.5040650406504
2019,28.46698474027809,53.142857142857146,19.659612405073787,70.12244897959184
2020,17.31141326333776,54.480000000000004,29.508328143620176,72.63999999999999
2021,3.5901900155483575,49.75806451612904,31.922543932457202,76.7741935483871
2022,17.706584199271486,49.23076923076924,26.636265422637354,68.66396761133603
2023,6.8763213683790925,52.03252032520326,25.477340586012968,73.65853658536585
2024,3.7086785301075356,53.0379746835443,31.279421787586717,77.59493670886076
