selection,oc_bps,cc_bps,oc_edge_bps,oc_edge_t,cc_edge_bps,cc_edge_t
AS-PROPOSED top 3,-10.84495198309836,4.212527276331975,-4.66119370617279,-2.5870474665183827,-4.06877413874631,-2.1655017167010313
composite top 1,-13.646629853378876,4.787319534279846,-7.462871576453306,-2.302463144782485,-3.4939818807984384,-1.037530663685771
composite top 3,-11.816794405795946,4.512940418711346,-5.633036128870378,-3.222317443365206,-3.7683609963669396,-2.08539456095883
UNIVERSE,-6.183758276925569,8.281301415078284,0.0,,0.0,
composite bottom 3,-7.195346451310228,6.54803257488234,-1.0115881743846618,-0.6543657222751713,-1.7332688401959437,-1.0629046366255175
