hold_days,edge_bps,edge_t,edge_t_nonoverlap,days
1,-3.7683609963669396,-2.08539456095883,-2.08539456095883,3114
3,-9.382473649993607,-3.015727378638322,-2.532868233811397,3112
5,-12.004056963237739,-3.0125952958383806,-0.803391232158158,3110
10,-6.669527907776247,-1.1868424607957087,-0.10086198033474915,3105
20,2.5503560317271114,0.3115216981144074,-0.9299595382859439,3095
40,19.544320494427147,1.7317203824359877,0.474069144443031,3075
