factor,oc_bps,oc_edge_bps,oc_edge_t,cc_bps,cc_edge_bps,cc_edge_t
momentum,-9.376883076765903,-3.193124799840336,-1.722549486906206,8.933266116265722,0.6519647011874404,0.3378711714818161
near_high,-9.018116492557045,-2.8343582156314775,-1.745188261041425,2.4581950004616187,-5.8231064146166664,-3.440451737542195
volume_exp,-7.240095957262545,-1.0563376803369753,-0.5953177376592358,9.431082921414044,1.1497815063357597,0.615620692018852
volatility,-5.224034140061633,0.9597241368639348,0.6329821645410698,9.397242708328656,1.1159412932503714,0.7029711147704151
